企業名,法人番号,新卒フラグ,掲載媒体,掲載媒体数,採用予定人数,取得日,採用ページ有無,採用ページURL,新卒言及,職種,外部採用媒体,根拠
株式会社アイ・アイ・エム,1010001000055,,,0,,2026-06-14,,,,,,
スズデン株式会社,1010001003966,,,0,,2026-06-14,,,,,,
五洋建設株式会社,1010001000006,,,0,,2026-06-14,○,https://www.penta-ocean.co.jp/company/recruit/index.html,,,,top-anchor
日産化学株式会社,1010001008734,,,0,,2026-06-14,,,,,,
株式会社片平新日本技研,1010001001854,○,,0,,2026-06-14,○,https://www.katahira.co.jp/recruit/,○,施工管理/コンサル,job.mynavi.jp,top-anchor
ＪＦＥスチール株式会社,1010001008668,○,,0,,2026-06-14,○,https://www.jfe-steel.co.jp/saiyou/recruit/message.html,○,営業,job.axol.jp/axol.jp,top-anchor
住友商事株式会社,1010001008692,○,,0,,2026-06-14,○,https://www.sumitomocorp.com/ja/jp/employ,○,営業,sumitomocorp-recruiting.com/scg-recruit.jp/sumisho-sws.com,top-anchor
ＤＯＷＡホールディングス株式会社,1010001008750,○,,0,,2026-06-14,○,https://hd.dowa.co.jp/ja/recruit.html,○,,,top-anchor
三井物産株式会社,1010001008767,○,,0,,2026-06-14,○,https://www.mitsui.com/jp/ja/careers/mitsuigroup/index.html,○,企画/販売/コンサル,career.mitsui.com,top-anchor
ウシオ電機株式会社,1010001008651,,,0,,2026-06-14,○,https://ushio-recruit.jp/,,,ushio-recruit.jp,external-only
日本曹達株式会社,1010001008833,,,0,,2026-06-14,○,https://www.nippon-soda.co.jp/recruitment/saiyo/,,営業,nippon-soda.snar.jp,top-anchor
アース環境サービス株式会社,1010001009823,,,0,,2026-06-14,,,,,,
ピーエス・コンストラクション株式会社,1010001008742,,,0,,2026-06-14,○,https://recruit.psc.co.jp/,,,recruit.psc.co.jp,external-only
東京電力ホールディングス株式会社,1010001008825,,,0,,2026-06-14,,,,,,top-fetch-failed
株式会社アスク,1010001009831,,,0,,2026-06-14,,,,,,
石福金属興業株式会社,1010001010624,,,0,,2026-06-14,○,https://recruit.ishifuku-kinzoku.co.jp/,,営業/技術職,recruit.ishifuku-kinzoku.co.jp,common-path
商船三井ロジスティクス株式会社,1010001012546,,,0,,2026-06-14,,,,,,
イチカワ株式会社,1010001000708,○,,0,,2026-06-14,○,https://www.ik-felt.co.jp/Portals/0/recruit/index.html,○,営業/販売,,top-anchor
ＮＴＴ都市開発株式会社,1010001012372,,,0,,2026-06-14,,,,,,top-fetch-failed
株式会社大塚商会,1010001012983,○,,0,,2026-06-14,○,https://www.otsuka-shokai.co.jp/corporate/recruit/,○,介護,,top-anchor
日本高周波鋼業株式会社,1010001016852,,,0,,2026-06-14,,,,,,
株式会社グロービス,1010001015334,,,0,,2026-06-14,○,https://globis.co.jp/careers/,,エンジニア/デザイナー,recruiting.globis.co.jp,top-anchor
株式会社ニッスイ,1010001016860,○,,0,,2026-06-14,○,https://www.nissui.co.jp/recruit/index.html,○,エンジニア/営業/総合職/技術職/事務,,top-anchor
株式会社ミクニ,1010001008791,,,0,,2026-06-14,○,https://www.mikuni.co.jp/recruit/special/,,営業/事務/介護/販売,mikuni-recruit.snar.jp,top-anchor
ジャパンプロテクション株式会社,1010001019236,,,0,,2026-06-14,,,,,,
株式会社オーヤラツクス,1010001013305,,,0,,2026-06-14,,,,,,no-recruit-link
株式会社ザイエンス,1010001017941,,,0,,2026-06-14,,,,,,
株式会社ＣＡＣ　Ｈｏｌｄｉｎｇｓ,1010001019335,,,0,,2026-06-14,,,,,,
住商エアロシステム株式会社,1010001020185,○,,0,,2026-06-14,○,https://www.sc-aero.co.jp/recruit/,○,総合職,,top-anchor
ソリッドコミュニケーション株式会社,1010001021349,,,0,,2026-06-14,,,,,,
ミズホ株式会社,1010001007612,○,,0,,2026-06-14,○,https://www.mizuho.co.jp/recruit,○,営業/技術職/販売,,top-anchor
株式会社第一管理代行,1010001021381,,,0,,2026-06-14,,,,,,
株式会社中央経済社ホールディングス,1010001022710,,,0,,2026-06-14,,,,,,
株式会社ティ・オー・エス,1010001023378,,,0,,2026-06-14,,,,,,
東洋計測器株式会社,1010001024129,,,0,,2026-06-14,,,,,,
株式会社内藤一水社,1010001025135,,,0,,2026-06-14,,,,,,
東光電気工事株式会社,1010001024087,,,0,,2026-06-14,○,http://www.tokodenko.co.jp/recruit/career/,,営業/企画,recruit.tokodenko.co.jp,top-anchor
イー・アンド・エム株式会社,1010001010847,,,0,,2026-06-14,,,,,,top-fetch-failed
ＮＸ商事株式会社,1010001025515,,,0,,2026-06-14,,,,,,
日信防災株式会社,1010001025449,○,,0,,2026-06-14,○,https://www.nissin-b.co.jp/recruit,○,営業/施工管理/介護,,top-anchor
株式会社はとバスエージェンシー,1010001026819,,,0,,2026-06-14,,,,,,
山崎金属産業株式会社,1010001031109,,,0,,2026-06-14,,,,,,
株式会社野澤組,1010001026166,○,,0,,2026-06-14,○,https://www.nosawa.co.jp/recruit/,○,販売,doda.jp/nosawa.jp,top-anchor
株式会社エフエム東京,1010001012439,,,0,,2026-06-14,○,https://www.tfm.co.jp/company/about/recruit/career,,総合職,,common-path
株式会社共立メンテナンス,1010001014427,,,0,,2026-06-14,○,https://www.kyoritsugroup.co.jp/en/recruit/,,,,top-anchor
株式会社読売アルスＡ,1010001031728,,,0,,2026-06-14,,,,,,top-fetch-failed
株式会社ＪＰＦ,1010001033237,○,,0,,2026-06-14,○,https://www.jpf.co.jp/recruit/,○,営業/事務/企画,,top-anchor
ＣＨＥＭＩＰＡＺ株式会社,1010001033609,○,,0,,2026-06-14,○,https://www.chemipaz.com/recruit/new-graduates/,○,営業/事務/企画,,top-anchor
株式会社テレコムスクエア,1010001026918,○,,0,,2026-06-14,○,https://www.telecomsquare.net/recruit/,○,営業/企画/デザイナー/介護/マーケティング,,top-anchor
株式会社内田洋行,1010001034730,,,0,,2026-06-14,○,https://www.uchida.co.jp/recruit/index.html,,営業/企画/デザイナー/施工管理,,top-anchor
株式会社岡三証券グループ,1010001034747,,,0,,2026-06-14,,,,,,
三菱ＵＦＪファクター株式会社,1010001022149,,,0,,2026-06-14,○,https://www.muf.bk.mufg.jp/recruit/,,営業/総合職/事務/企画/コンサル,,top-anchor
ＤＭ三井製糖株式会社,1010001034929,,,0,,2026-06-14,,,,,,
株式会社資生堂,1010001034813,,,0,,2026-06-14,○,https://corp.shiseido.com/jp/careers/,,マーケティング,careers.shiseido.com,top-anchor
日清オイリオグループ株式会社,1010001034887,,,0,,2026-06-14,○,https://www.nisshin-oillio.com/company/recruit/shinsotu/,,営業/企画/販売,hrmos.co,top-anchor
Ｂｉｔｃｏｉｎ　Ｊａｐａｎ株式会社,1010001034953,,,0,,2026-06-14,○,https://www.hotta-marusho.co.jp/recruit/,,営業/事務/企画/デザイナー/販売,,top-anchor
株式会社ジェイエイシーリクルートメント,1010001019483,○,,0,,2026-06-14,○,https://corp.jac-recruitment.jp/recruit/,○,,jac-recruitment.jp,common-path
日本紙パルプ商事株式会社,1010001034978,○,,0,,2026-06-14,○,http://www.kamipa.co.jp/careers/,○,販売/コンサル,,top-anchor
株式会社松屋,1010001034945,,,0,,2026-06-14,,,,,,no-recruit-link
わかもと製薬株式会社,1010001035010,,,0,,2026-06-14,,,,,,
日本パーカライジング株式会社,1010001034994,,,0,,2026-06-14,○,https://www.parker.co.jp/recruit/index.html,,営業,job.mynavi.jp/recruit.parker.co.jp,top-anchor
東海東京フィナンシャル・ホールディングス株式会社,1010001034202,,,0,,2026-06-14,○,https://www.tokaitokyo-fh.jp/recruit/saiyo/,,営業,armg.jp,top-anchor
株式会社教映社,1120001000341,○,,0,,2026-06-14,○,https://www.kyoeisha.com/recruit,○,営業/企画/販売,,top-anchor
シャープマーケティングジャパン株式会社,1040001008905,○,,0,,2026-06-14,○,https://smj.jp.sharp/recruiting/,○,営業/販売/マーケティング,,top-anchor
株式会社かんこう,1120001007221,,,0,,2026-06-14,,,,,,
近代警備保障株式会社,1120001007337,,,0,,2026-06-14,,,,,,
加陽印刷株式会社,1120001007205,,,0,,2026-06-14,○,https://kayo.co.jp/recruit/,,営業,,top-anchor
平和不動産株式会社,1010001034920,,,0,,2026-06-14,○,https://www.heiwa-net.co.jp/recruit/shinsotsu/,,企画/介護,,top-anchor
ＳＡＮＥＩ株式会社,1120001012428,,,0,,2026-06-14,○,https://www.sanei.ltd/library/recruit/,,営業/技術職/事務/企画/介護,,top-anchor
ＦＣＭ株式会社,1120001011859,○,,0,,2026-06-14,○,https://fc-m.co.jp/mid-career-recruit/,○,営業/介護,,top-anchor
株式会社ぐるなび,1010001034565,○,,0,,2026-06-14,○,https://corporate.gnavi.co.jp/recruit/,○,エンジニア/営業/事務/介護,hr.corporate.gnavi.co.jp,top-anchor
永大化工株式会社,1120001019704,○,,0,,2026-06-14,○,https://recruit.eidaikako.co.jp/,○,営業/販売,recruit.eidaikako.co.jp,common-path
アイコム株式会社,1120001019349,,,0,,2026-06-14,○,https://www.icom.co.jp/job/recruit/,,,job.icom.co.jp,top-anchor
大日本塗料株式会社,1120001026551,,,0,,2026-06-14,,,,,,
ホシザキ京阪株式会社,1120001025289,○,,0,,2026-06-14,○,https://hoshizaki-keihan.co.jp/recruite,○,営業/販売/コンサル,,top-anchor
阪神警備保障株式会社,1120001031502,,,0,,2026-06-14,,,,,,
株式会社大森屋,1120001034595,,,0,,2026-06-14,,,,,,
大阪製鐵株式会社,1120001028390,○,,0,,2026-06-14,○,https://www.osaka-seitetu.co.jp/recruit,○,営業/総合職/企画/介護,job.mynavi.jp,top-anchor
毎美エンジニアリング株式会社,1120001036427,,,0,,2026-06-14,,,,,,
日本インシュレーション株式会社,1120001040610,,,0,,2026-06-14,,,,,,
