企業名,法人番号,採用担当者名,融合確度,一致ソース数,クロス検証,寄与ソース,役職,部署,根拠URL,根拠,公式URL,取得日
株式会社明乳松浦,1240001032356,松浦 伸明,0.725,1,,公式HP(自社サイト),代表,,http://meinyuu-matsuura.co.jp/,"代表者
 代表取締役　松浦　伸明",http://meinyuu-matsuura.co.jp/,2026-07-05
株式会社津山商店,1110001026412,津山 由香,0.665,1,,公式HP(自社サイト),代表,,http://www.tsuyamagroup.co.jp/company.html,"代表者
代表取締役　津山 由香",http://www.tsuyamagroup.co.jp/,2026-07-05
スバル東海株式会社,1180001013049,杉山 智啓,0.725,1,,公式HP(自社サイト),代表,,https://www.nagoya-subaru.co.jp/aboutcompany/,"代表者
 代表取締役社長　杉山 智啓",https://www.nagoya-subaru.co.jp/,2026-07-05
カンケンテクノ株式会社,1130001030783,今村 浩一,0.725,1,,公式HP(自社サイト),代表,,https://www.kanken-techno.co.jp/company/message,"代表取締役社長
今村 浩一",https://www.kanken-techno.co.jp/,2026-07-05
株式会社ルルアーク,1290001003427,長友 伸二,0.665,1,,公式HP(自社サイト),代表,,https://www.luluarq.co.jp/about/index.html,"代表者
 代表取締役社長　長友 伸二",https://www.luluarq.co.jp/,2026-07-05
株式会社電算情報技研,1120001045519,妹尾 均,0.665,1,,公式HP(自社サイト),代表,,https://densanjoho.co.jp/company/,"代表者名
 代表取締役社長　妹尾 均",https://densanjoho.co.jp/,2026-07-05
錦電サービス株式会社,1010001014591,河野 朗,0.725,1,,公式HP(自社サイト),代表,,http://www.kinden-service.co.jp/profile.html,"代表者
 代表取締役 河野　朗",http://www.kinden-service.co.jp/,2026-07-05
株式会社山之内製作所,1020001024697,山内 英圓,0.725,1,,公式HP(自社サイト),代表,,https://www.ysec.jp/company/,"代表者
代表取締役　山内 英圓",https://www.ysec.jp/,2026-07-05
株式会社サン精密化工研究所,1030001030736,村上 守,0.725,1,,公式HP(自社サイト),代表,,https://www.sanseimitsu.co.jp/company,代表取締役社長　村上　守,https://www.sanseimitsu.co.jp/,2026-07-05
株式会社ニューオークボ,1040001066226,,,,,,,,,,https://nama-pasta.com/,2026-07-05
山中産業株式会社,1130001002130,鈴木 基伸,0.725,1,,公式HP(自社サイト),代表,,https://yamanaka-sangyo.jp/company/,代表取締役社長鈴木 基伸,https://yamanaka-sangyo.jp/,2026-07-05
南北ビルセイビ株式会社,1120001039363,樫畑 寛治,0.665,1,,公式HP(自社サイト),代表,,https://nanboku-bs.co.jp/about/,代表取締役　樫畑 寛治,https://nanboku-bs.co.jp/,2026-07-05
株式会社なすび,1080001008843,,,,,,,,,,https://www.nasubi-ltd.co.jp/,2026-07-05
広島荷役株式会社,1240001009544,戸田 武志,0.665,1,,公式HP(自社サイト),代表,,https://hi-niyaku.co.jp/about/,"代表取締役社長
 戸田 武志",https://hi-niyaku.co.jp/,2026-07-05
株式会社緒方製作所,1370201000075,伊藤 武利,0.725,1,,公式HP(自社サイト),代表,,https://www.ogata-ss.jp/company,代表取締役社長　伊藤　武利,https://www.ogata-ss.jp/,2026-07-05
株式会社国土,2110001000044,梨本 貴幸,0.725,1,,公式HP(自社サイト),代表,,https://www.k-kokudo.co.jp/company/,代表取締役会長梨本　貴幸,https://www.k-kokudo.co.jp/,2026-07-05
株式会社諏訪三社電機,1100001029622,大村 剛史,0.725,1,,公式HP(自社サイト),代表,,https://www.suwa.sansha.co.jp/overview.html,"代表者
 大村 剛史",https://www.suwa.sansha.co.jp/,2026-07-05
日建ヘルスメディカル株式会社,2200001006180,林 芳弘,0.725,1,,公式HP(自社サイト),代表,,http://www.gifu-healthmedical.jp/company.html,"代表者
代表取締役　林　芳弘",http://www.gifu-healthmedical.jp/,2026-07-05
山口金属曲板工業株式会社,1120001021940,下村 悠太,0.725,1,,公式HP(自社サイト),代表,,https://www.yamakin-g.com/company.html,代表取締役　下村 悠太,https://www.yamakin-g.com/,2026-07-05
湘南交通株式会社,1020001004022,,,,,,,,,,https://www.shonankotsu.co.jp/,2026-07-05
三重交通コミュニティ株式会社,1190001000351,,,,,,,,,,https://www.sanco-com.co.jp/,2026-07-05
三和陸運株式会社,1290001020273,,,,,,,,,,https://www.sanwa-express.com/,2026-07-05
ハッピーハウス株式会社,1290001015827,上村 英輔,0.725,1,,公式HP(自社サイト),代表,,https://www.happy-house.co.jp/portal_company_info/index02.php,代表取締役 上村英輔,https://www.happy-house.co.jp/,2026-07-05
八洲制御システム株式会社,1240001003183,米山 文夫,0.665,1,,公式HP(自社サイト),代表,,https://yashima-cs.co.jp/company/,代表取締役社長 米山　文夫,https://yashima-cs.co.jp/,2026-07-05
東日本リフトサービス株式会社,1370601000674,武山 東,0.665,1,,公式HP(自社サイト),代表,,https://ejls.jp/company.html,"代表者
 代表取締役　武山　東",https://ejls.jp/,2026-07-05
長野興農株式会社,1100001002257,広田 至誠,0.725,1,,公式HP(自社サイト),代表,,https://www.naganokono.co.jp/company/outline,"代表者
代表取締役社長 広田　至誠",https://www.naganokono.co.jp/,2026-07-05
エム・ティ・ケー株式会社,1200001000688,松原 健,0.725,1,,公式HP(自社サイト),代表,,https://www.mtk.jp/,代表者:　代表取締役 松原　健,https://www.mtk.jp/,2026-07-05
住友商事フィナンシャルマネジメント株式会社,1010001012059,西 巻豊,0.725,1,,公式HP(自社サイト),代表,,https://ssfm.co.jp/,代表取締役社長 西巻豊,https://ssfm.co.jp/,2026-07-05
株式会社ＫＮＤコーポレーション,1030001020142,,,,,,,,,,https://www.bukko-kanda.co.jp/,2026-07-05
株式会社川和,1040001037961,,,,,,,,,,https://www.kawawa-web.com/,2026-07-05
