企業名,法人番号,採用担当者名,融合確度,一致ソース数,クロス検証,寄与ソース,役職,部署,根拠URL,根拠,公式URL,取得日
阪神高速トール神戸株式会社,1140001028546,近藤 和博,0.725,1,,公式HP(自社サイト),代表,,https://www.hanshin-tollkobe.co.jp/corp_outline/,"代表者
代表取締役社長　近藤　和博",https://www.hanshin-tollkobe.co.jp/,2026-07-05
株式会社成基,1130001003203,,,,,,,,,,https://www.seiki.co.jp/,2026-07-05
株式会社ニューオータニ九州,1290001010423,山本 圭介,0.725,1,,公式HP(自社サイト),代表,,https://www.kys-newotani.co.jp/hakata/company/profile/,"代表者名 
代表取締役社長　山本圭介",https://www.kys-newotani.co.jp/hakata/,2026-07-05
ラブリー株式会社,1020001012776,,,,,,,,,,http://www.lovely-cl.co.jp/,2026-07-05
株式会社中島屋ホテルズ,1080001002895,鈴木 健太郎,0.725,1,,公式HP(自社サイト),代表,,https://www.sn-hotels.com/company/,代表取締役社長鈴木 健太郎,https://www.sn-hotels.com/,2026-07-05
株式会社嘉文,1180001014286,,,,,,,,,,http://www.kamon-group.com/,2026-07-05
株式会社大富,1290001036286,,,,,,,,,,https://www.oh-tomi.co.jp/,2026-07-05
国分東北株式会社,1370001001380,小川 智生,0.725,1,,公式HP(自社サイト),代表,,https://www.kokubu.co.jp/touhoku/,"代表取締役社長執行役員
 小川 智生",https://www.kokubu.co.jp/touhoku/,2026-07-05
株式会社加賀田組,1110001001051,秋山,0.735,1,,公式HP(自社サイト),人事部,管理本部人事部,https://www.kagata.co.jp/page/recruitNew,人事部　秋山・田中,https://www.kagata.co.jp/,2026-07-05
株式会社ユーマート,1080001009379,,,,,,,,,,https://www.u-mart.co.jp/,2026-07-05
株式会社ワイエムフーズ,1110001011546,,,,,,,,,,http://www.ymfoods.co.jp/,2026-07-05
株式会社クリエイティブヨーコ,1100001000847,北原 武幸,0.725,1,,公式HP(自社サイト),代表,,https://www.creativeyoko.co.jp/company/,"代表者
代表取締役社長　北原 武幸",https://www.creativeyoko.co.jp/,2026-07-05
おのみちバス株式会社,1240001039244,,,,,,,,,,https://onomichibus.jp/,2026-07-05
アート梱包運輸株式会社,1100001010739,余語 隆寛,0.665,1,,公式HP(自社サイト),代表,,https://www.art-konpoh.co.jp/company/about_us/,"代表者
 代表取締役社長　余語　隆寛",https://www.art-konpoh.co.jp/company/about_us/,2026-07-05
株式会社喜久家,1200001001546,後藤 斌夫,0.725,1,,公式HP(自社サイト),代表,,https://www.p-kikuya.co.jp/top/company-information/profile-ranking/,代表取締役社長　後藤斌夫,https://www.p-kikuya.co.jp/,2026-07-05
大阪エムケイ株式会社,1120001036971,関 空エムケ,0.665,1,,公式HP(自社サイト),代表,,https://www.mk-group.co.jp/osaka/company/,"代表取締役
 関空エムケ",https://www.mk-group.co.jp/osaka/,2026-07-05
中電不動産株式会社,1180001016200,岡本 祥一,0.725,1,,公式HP(自社サイト),代表,,https://www.chudenfudosan.co.jp/company/outline/,"代表者
 代表取締役社長 岡本 祥一",https://www.chudenfudosan.co.jp/,2026-07-05
株式会社マツヤスーパー,1130001013359,中山 博雄,0.725,1,,公式HP(自社サイト),代表,,http://www.matsuyasuper.co.jp/company/,代表者代表取締役　中山 博雄,http://www.matsuyasuper.co.jp/,2026-07-05
株式会社ワールドツール,1010401117787,中島 勉,0.725,1,,公式HP(自社サイト),代表,,https://www.astro-p.co.jp/help/corporate,"代表者
 中島 勉",https://www.astro-p.co.jp/,2026-07-05
イチビキ株式会社,1180001021522,,,,,,,,,,https://www.ichibiki.co.jp/,2026-07-05
ニデックテクノモータ株式会社,1130001044180,,,,,,,,,,https://www.nidec.com/jp/nidec-technomotor/,2026-07-05
株式会社河野,1240001003357,,,,,,,,,,https://www.transport-kono.com/,2026-07-05
株式会社赤福,1190001006381,浜田 朋恵,0.725,1,,公式HP(自社サイト),代表,,https://www.akafuku.co.jp/company/,"代表者
濵田　朋恵",https://www.akafuku.co.jp/,2026-07-05
株式会社ティ・アイ・エス,1290001014705,,,,,,,,,,https://www.tis-web.co.jp/recruit/index.html,2026-07-05
株式会社アンデルセンサービス,1240001015716,沼田 二郎,0.705,1,,公式HP(自社サイト),代表,,https://www.andersen-group.jp/recruit/message/,"代表取締役社長
沼田　二郎",https://www.andersen-group.jp/recruit/rearing-support/,2026-07-05
株式会社Ｂ・Ｉ,1370001005910,,,,,,,,,,http://www.biunsou.co.jp/,2026-07-05
株式会社テクノプラスト,1180001010624,中村 明,0.725,1,,公式HP(自社サイト),代表,,https://technoplast.co.jp/company/,"代表者
 中村　明",https://technoplast.co.jp/,2026-07-05
京都エレクトロン株式会社,1130001035551,西田 弘之,0.725,1,,公式HP(自社サイト),代表,,https://kyoto-electron.co.jp/company/companyoutline/,"代表者
代表取締役社長　西田 弘之",https://kyoto-electron.co.jp/,2026-07-05
ＷＩＬＬＥＲ　ＴＲＡＩＮＳ株式会社,1120001185166,飯島 徹,0.725,1,,公式HP(自社サイト),代表,,https://trains.willer.co.jp/recruit-info/,代表取締役飯島 徹,https://trains.willer.co.jp/recruit-info/,2026-07-05
株式会社デンソーワイズテック,1200001018152,,,,,,,,,,https://www.denso-wisetech.co.jp/,2026-07-05
株式会社タキズミ,1010001004642,吉森 豊,0.665,1,,公式HP(自社サイト),代表,,https://www.takizumi.com/company/,"代表取締役社長
 吉森 豊",https://www.takizumi.com/,2026-07-05
株式会社イング,1120001037350,大澤,0.665,1,,公式HP(自社サイト),代表,,http://www.ing-edu.com/about/,代表者代表取締役社長　大澤,http://www.ing-edu.com/,2026-07-05
株式会社エコワーク,1080001012936,原 元晴が,0.725,1,,公式HP(自社サイト),代表,,https://ecowork.co.jp/company/index.html,原元晴が代表取締役,https://ecowork.co.jp/,2026-07-05
大東プレス工業株式会社,1120001002107,,,,,,,,,,http://www.daito-press.co.jp/,2026-07-05
サンタクシー株式会社,1020001026768,馬場 正治,0.725,1,,公式HP(自社サイト),代表,,https://suntaxi.com/about/profile/,"代表者
 
代表取締役社長　馬場 正治",https://suntaxi.com/,2026-07-05
トナミ国際物流株式会社,1020001028054,吉田 博之,0.725,1,,公式HP(自社サイト),代表,,https://www.tglc.co.jp/company/profile/,"代表者
代表取締役社長　吉田　博之",https://www.tglc.co.jp/,2026-07-05
株式会社ミキ,1180001015631,,,,,,,,,,http://kurumaisu-miki.co.jp/,2026-07-05
西部スチール株式会社,1030001045370,天野 裕之,0.725,1,,公式HP(自社サイト),代表,,https://www.seibustl.jp/company/,代表取締役天野裕之,https://www.seibustl.jp/,2026-07-05
山二ガス株式会社,1030001025232,相田 昇三,0.665,1,,公式HP(自社サイト),代表,,https://www.yamani-gas.jp/message,代表取締役　相田　昇三,https://www.yamani-gas.jp/,2026-07-05
株式会社埼玉県魚市場,1030001003411,,,,,,,,,,https://saitamauoiti.co.jp/,2026-07-05
