企業名,法人番号,採用担当者名,融合確度,一致ソース数,クロス検証,寄与ソース,役職,部署,根拠URL,根拠,公式URL,取得日
南北ビルセイビ株式会社,1120001039363,樫畑 寛治,0.665,1,,公式HP(自社サイト),代表,,https://nanboku-bs.co.jp/about/,代表取締役　樫畑 寛治,https://nanboku-bs.co.jp/,2026-07-05
株式会社近藤紡績所,1180001035935,近藤 大揮,0.725,1,,公式HP(自社サイト),代表,,https://www.kondobo.co.jp/company/,代表者代表取締役社長　近藤　大揮,https://www.kondobo.co.jp/,2026-07-05
中央精版印刷株式会社,1030001020480,草刈明代,0.665,1,,公式HP(自社サイト),代表,,https://www.seihan.co.jp/company_2.html,"代表者
代表取締役社長　草刈明代",https://www.seihan.co.jp/,2026-07-05
阪神高速トール神戸株式会社,1140001028546,近藤 和博,0.725,1,,公式HP(自社サイト),代表,,https://www.hanshin-tollkobe.co.jp/corp_outline/,"代表者
代表取締役社長　近藤　和博",https://www.hanshin-tollkobe.co.jp/,2026-07-05
ラブリー株式会社,1020001012776,,,,,,,,,,http://www.lovely-cl.co.jp/,2026-07-05
株式会社成基,1130001003203,,,,,,,,,,https://www.seiki.co.jp/,2026-07-05
株式会社ルルアーク,1290001003427,長友 伸二,0.665,1,,公式HP(自社サイト),代表,,https://www.luluarq.co.jp/about/index.html,"代表者
 代表取締役社長　長友 伸二",https://www.luluarq.co.jp/,2026-07-05
株式会社ニューオータニ九州,1290001010423,山本 圭介,0.725,1,,公式HP(自社サイト),代表,,https://www.kys-newotani.co.jp/hakata/company/profile/,"代表者名 
代表取締役社長　山本圭介",https://www.kys-newotani.co.jp/hakata/,2026-07-05
積水ハウス建設九州株式会社,1290001017773,三浦 淳一,0.725,1,,公式HP(自社サイト),代表,,https://www.sekisuihouse-k.jp/company/kyushu/,"代表取締役社長
 三浦　淳一",https://www.sekisuihouse-k.jp/company/kyushu/,2026-07-05
アーキスプランニング株式会社,1130001004300,,,,,,,,,,http://www.ap-kyoto.com/,2026-07-05
株式会社あいネットサービス,1080001002251,杉山 茂之,0.725,1,,公式HP(自社サイト),代表,,http://www2.ainetgrp.co.jp/group/message.php,代表取締役杉山茂之,http://www2.ainetgrp.co.jp/,2026-07-05
株式会社中島屋ホテルズ,1080001002895,鈴木 健太郎,0.725,1,,公式HP(自社サイト),代表,,https://www.sn-hotels.com/company/,代表取締役社長鈴木 健太郎,https://www.sn-hotels.com/,2026-07-05
清和海運株式会社,1080001008463,宮崎 總一郎,0.725,1,,公式HP(自社サイト),代表,,http://www.seiwa-kaiun.co.jp/company/greeting/,代表取締役会長　宮崎 總一郎,http://www.seiwa-kaiun.co.jp/,2026-07-05
株式会社嘉文,1180001014286,,,,,,,,,,http://www.kamon-group.com/,2026-07-05
株式会社明乳松浦,1240001032356,松浦 伸明,0.725,1,,公式HP(自社サイト),代表,,http://meinyuu-matsuura.co.jp/,"代表者
 代表取締役　松浦　伸明",http://meinyuu-matsuura.co.jp/,2026-07-05
株式会社大富,1290001036286,,,,,,,,,,https://www.oh-tomi.co.jp/,2026-07-05
株式会社ユーマート,1080001009379,,,,,,,,,,https://www.u-mart.co.jp/,2026-07-05
国分東北株式会社,1370001001380,小川 智生,0.725,1,,公式HP(自社サイト),代表,,https://www.kokubu.co.jp/touhoku/,"代表取締役社長執行役員
 小川 智生",https://www.kokubu.co.jp/touhoku/,2026-07-05
弘進ゴム株式会社,1370001002973,西井 英正,0.725,1,,公式HP(自社サイト),代表,,https://www.kohshin-grp.co.jp/company/history/index.html,"代表取締役社長
西井 英正",http://www.kohshin-grp.co.jp/,2026-07-05
株式会社加賀田組,1110001001051,秋山,0.735,1,,公式HP(自社サイト),人事部,管理本部人事部,https://www.kagata.co.jp/page/recruitNew,人事部　秋山・田中,https://www.kagata.co.jp/,2026-07-05
おのみちバス株式会社,1240001039244,,,,,,,,,,https://onomichibus.jp/,2026-07-05
仙台交通株式会社,1370001002420,,,,,,,,,,http://sendaikotsu.co.jp/,2026-07-05
株式会社津山商店,1110001026412,津山 由香,0.665,1,,公式HP(自社サイト),代表,,http://www.tsuyamagroup.co.jp/company.html,"代表者
代表取締役　津山 由香",http://www.tsuyamagroup.co.jp/,2026-07-05
株式会社クリエイティブヨーコ,1100001000847,北原 武幸,0.725,1,,公式HP(自社サイト),代表,,https://www.creativeyoko.co.jp/company/,"代表者
代表取締役社長　北原 武幸",https://www.creativeyoko.co.jp/,2026-07-05
マルイチ・ロジスティクス・サービス株式会社,1100001004732,宮島 雄二,0.665,1,,公式HP(自社サイト),代表,,https://maruichi-logistics.com/company/,"代表取締役社長
 宮島　雄二",https://maruichi-logistics.com/,2026-07-05
アート梱包運輸株式会社,1100001010739,余語 隆寛,0.665,1,,公式HP(自社サイト),代表,,https://www.art-konpoh.co.jp/company/about_us/,"代表者
 代表取締役社長　余語　隆寛",https://www.art-konpoh.co.jp/company/about_us/,2026-07-05
株式会社ワイエムフーズ,1110001011546,,,,,,,,,,http://www.ymfoods.co.jp/,2026-07-05
株式会社喜久家,1200001001546,後藤 斌夫,0.725,1,,公式HP(自社サイト),代表,,https://www.p-kikuya.co.jp/top/company-information/profile-ranking/,代表取締役社長　後藤斌夫,https://www.p-kikuya.co.jp/,2026-07-05
多摩川マイクロテップ株式会社,1100001022305,各務 誠,0.665,1,,公式HP(自社サイト),代表,,https://www.tamagawa-microtep.co.jp/company/,代表取締役社長各務　誠,https://www.tamagawa-microtep.co.jp/,2026-07-05
大阪エムケイ株式会社,1120001036971,関 空エムケ,0.665,1,,公式HP(自社サイト),代表,,https://www.mk-group.co.jp/osaka/company/,"代表取締役
 関空エムケ",https://www.mk-group.co.jp/osaka/,2026-07-05
スバル東海株式会社,1180001013049,杉山 智啓,0.725,1,,公式HP(自社サイト),代表,,https://www.nagoya-subaru.co.jp/aboutcompany/,"代表者
 代表取締役社長　杉山 智啓",https://www.nagoya-subaru.co.jp/,2026-07-05
中電不動産株式会社,1180001016200,岡本 祥一,0.725,1,,公式HP(自社サイト),代表,,https://www.chudenfudosan.co.jp/company/outline/,"代表者
 代表取締役社長 岡本 祥一",https://www.chudenfudosan.co.jp/,2026-07-05
日軽新潟株式会社（閉鎖）,1110001006604,,,,,,,,,,https://www.nikkei-niigata.co.jp/,2026-07-05
株式会社大同ライフサービス,1180001014798,永井 崇,0.725,1,,公式HP(自社サイト),代表,,https://www.daidolife.co.jp/company/outline/,"代表者
 永井　崇",https://www.daidolife.co.jp/,2026-07-05
株式会社ジェイアール東海高島屋,1180001030531,川田 啓貴,0.725,1,,公式HP(自社サイト),代表,,https://www.jr-takashimaya.co.jp/company/,川田 啓貴 代表取締役,https://www.jr-takashimaya.co.jp/,2026-07-05
株式会社ワールドツール,1010401117787,中島 勉,0.725,1,,公式HP(自社サイト),代表,,https://www.astro-p.co.jp/help/corporate,"代表者
 中島 勉",https://www.astro-p.co.jp/,2026-07-05
ジョルジオアルマーニジャパン株式会社,1010001019962,,,,,,,,,,https://www.armani.com/ja-jp/,2026-07-05
株式会社マツヤスーパー,1130001013359,中山 博雄,0.725,1,,公式HP(自社サイト),代表,,http://www.matsuyasuper.co.jp/company/,代表者代表取締役　中山 博雄,http://www.matsuyasuper.co.jp/,2026-07-05
カンケンテクノ株式会社,1130001030783,今村 浩一,0.725,1,,公式HP(自社サイト),代表,,https://www.kanken-techno.co.jp/company/message,"代表取締役社長
今村 浩一",https://www.kanken-techno.co.jp/,2026-07-05
イチビキ株式会社,1180001021522,,,,,,,,,,https://www.ichibiki.co.jp/,2026-07-05
西日本フード株式会社,1290001022575,坂井 幸司,0.725,1,,公式HP(自社サイト),代表,,https://www.nfgroup.co.jp/westfood/company/,"代表者
代表取締役社長 坂井 幸司",https://www.nfgroup.co.jp/westfood/,2026-07-05
Ｐ＆Ｇジャパン合同会社,1140001024801,,,,,,,,,,https://jp.pg.com/,2026-07-05
ニデックテクノモータ株式会社,1130001044180,,,,,,,,,,https://www.nidec.com/jp/nidec-technomotor/,2026-07-05
西部運輸株式会社,1240001031060,,,,,,,,,,https://seibu-trans.jp/,2026-07-05
株式会社河野,1240001003357,,,,,,,,,,https://www.transport-kono.com/,2026-07-05
株式会社日本フードリンク,1110001004293,斎藤 正樹,0.725,1,,公式HP(自社サイト),代表,,https://www.j-foodrink.co.jp/company/,"代表取締役
 齋藤 正樹",https://www.j-foodrink.co.jp/,2026-07-05
株式会社Ｂ・Ｉ,1370001005910,,,,,,,,,,http://www.biunsou.co.jp/,2026-07-05
株式会社赤福,1190001006381,浜田 朋恵,0.725,1,,公式HP(自社サイト),代表,,https://www.akafuku.co.jp/company/,"代表者
濵田　朋恵",https://www.akafuku.co.jp/,2026-07-05
株式会社デンソーワイズテック,1200001018152,,,,,,,,,,https://www.denso-wisetech.co.jp/,2026-07-05
株式会社ティ・アイ・エス,1290001014705,,,,,,,,,,https://www.tis-web.co.jp/recruit/index.html,2026-07-05
三重交通コミュニティ株式会社,1190001000351,,,,,,,,,,https://www.sanco-com.co.jp/,2026-07-05
株式会社アンデルセンサービス,1240001015716,沼田 二郎,0.705,1,,公式HP(自社サイト),代表,,https://www.andersen-group.jp/recruit/message/,"代表取締役社長
沼田　二郎",https://www.andersen-group.jp/recruit/rearing-support/,2026-07-05
株式会社アンデルセン・パン生活文化研究所,1240001006178,沼田 二郎,0.705,1,,公式HP(自社サイト),代表,,https://www.andersen-group.jp/recruit/message/,"代表取締役社長
沼田　二郎",https://www.andersen-group.jp/recruit/rearing-support/,2026-07-05
